num_exercicio,disciplina,assunto
1,Ciências Humanas,Sociologia - Violência
2,Ciências Humanas,Filosofia - Hegel
3,Ciências Humanas,Atualidades - Mobilidade Urbana
4,Ciências Humanas,Atualidades - Questão Indígena
5,Ciências Humanas,Geografia - Relevo
6,Ciências Humanas,Geografia - Relevo
7,Ciências Humanas,Geografia - Neoliberalismo
8,Ciências Humanas,Geografia - Separatismo na catalunha
9,Ciências Humanas,Geografia - Ordens Mundiais
10,Ciências Humanas,Geografia - Oriente Médio
11,Ciências Humanas,Geografia - Questão Palestina
12,Ciências Humanas,Geografia - Divisão do Trabalho
13,Ciências Humanas,Geografia - Clima
14,Ciências Humanas,Geografia - Cartografia
15,Ciências Humanas,História - Grécia Antiga
16,Ciências Humanas,História - Idade Média
17,Ciências Humanas,História - Brasil Colônia
18,Ciências Humanas,História - Brasil Império
19,Ciências Humanas,História - Brasil Império
20,Ciências Humanas,História - Brasil Primeira República
21,Ciências Humanas,História - Regime Militar
22,Ciências Humanas,História - Redemocratização
23,Ciências Humanas,História - Idade Moderna
24,Ciências Humanas,História - Idade Moderna
25,Matemática,Geometria Plana
26,Matemática,Geometria Plana
27,Matemática,Geometria Plana
28,Matemática,Geometria Espacial
29,Matemática,Geometria Espacial
30,Matemática,Geometria Espacial
31,Matemática,Geometria Analítica
32,Matemática,Geometria Analítica
33,Matemática,Razão e proporção
34,Matemática,Razão e proporção
35,Matemática,Regra de 3
36,Matemática,Porcentagem
37,Matemática,Juros
38,Matemática,Trigonometria
39,Matemática,Trigonometria
40,Matemática,Trigonometria
41,Matemática,Conjuntos
42,Matemática,Função do 1º grau
43,Matemática,Função do 2º grau
44,Matemática,Função Exponencial
45,Matemática,Função Logarítmica
46,Matemática,Análise Combinatória
47,Matemática,Análise Combinatória
48,Matemática,Probabilidade
49,Linguagens,Texto informativo
50,Linguagens,Texto argumentativo
51,Linguagens,Tipologia textual
52,Linguagens,Variação linguística 
53,Linguagens,Intertextualidade
54,Linguagens,Tipologia textual
55,Linguagens,Figuras de linguagem
56,Linguagens,Tipologia textual
57,Linguagens,Significação 
58,Linguagens,Funções da linguagem 
59,Linguagens,Tipologia textual
60,Linguagens,Gênero textual
61,Linguagens,Gênero textual
62,Linguagens,Gênero textual
63,Linguagens,Significação 
64,Linguagens,Tipologia textual
65,Linguagens,Significação 
66,Linguagens,Significação 
67,Linguagens,Variação linguística 
68,Linguagens,Variação linguística 
69,Linguagens,Texto argumentativo
70,Linguagens,Gênero textual
71,Linguagens,Figuras de linguagem
72,Linguagens,Texto argumentativo
73,Redação,Redação
74,Ciências da Natureza,Biologia - Genética
75,Ciências da Natureza,Biologia - Genética
76,Ciências da Natureza,Biologia - Genética
77,Ciências da Natureza,"Biologia - DNA, RNA e Bases Nitrogenadas"
78,Ciências da Natureza,Biologia - Ciclos Biogeoquímicos
79,Ciências da Natureza,Biologia - Histologia
80,Ciências da Natureza,Biologia - Fisiologia Animal e humana
81,Ciências da Natureza,Biologia - Evolução
82,Ciências da Natureza,Química - Físico química
83,Ciências da Natureza,Química - Química geral
84,Ciências da Natureza,Química - Radioatividade
85,Ciências da Natureza,Química - Calculo Estequiométrico
86,Ciências da Natureza,Química - Físico Química
87,Ciências da Natureza,Química - Química geral
88,Ciências da Natureza,Química - Físico química
89,Ciências da Natureza,Química - Química geral
90,Ciências da Natureza,Física - Cinemática
91,Ciências da Natureza,Física - Cinemática
92,Ciências da Natureza,Física - Termodinâmica
93,Ciências da Natureza,Física - Trabalho e Energia
94,Ciências da Natureza,Física - Eletrodinâmica
95,Ciências da Natureza,Física - Eletrodinâmica
96,Ciências da Natureza,Física - Termodinâmica
97,Ciências da Natureza,Física - Dinâmica